,الرقم,التقييم,عدد المقيمين,المساحة,اسم العقار,الحي,سعر الليلة,المدينة,التصنيف
23,23,0.0,0,15000,شقة بغرفة نوم وصالة,حي الصخيرات,407,العلا,شقة
24,24,0.0,0,24,استديو بغرفة واحدة,حي العزيزية,270,العلا,استديو
25,25,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
26,26,0.0,0,18,استديو بسرير ماستر وجلسة,حي العلا,600,العلا,استديو
27,27,0.0,0,18,استديو بأجواء وموقع مميز,حي العلا,600,العلا,استديو
28,28,0.0,0,3000,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
29,29,0.0,0,18,استديو بسرير ماستر وجلسة,حي العلا,600,العلا,استديو
30,30,0.0,0,18,استديو بأجواء وموقع مميز,حي العلا,600,العلا,استديو
31,31,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
32,32,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
33,33,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
34,34,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
35,35,0.0,0,18,استديو بأسرة فردية وجلسة,حي العلا,600,العلا,استديو
36,36,0.0,0,1000,استديو مريح لليلة جميلة ومميزة,حي العلا,600,العلا,استديو
37,37,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
38,38,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
39,39,0.0,0,18,استديو مريح لليلة جميلة ومميزة,حي العلا,600,العلا,استديو
40,40,0.0,0,18,استديو مريح لليلة جميلة ومميزة,حي العلا,600,العلا,استديو
41,41,0.0,0,18,استديو بأثاث مريح وبسيط,حي العلا,600,العلا,استديو
42,42,0.0,0,18,استديو مريح لليلة جميلة ومميزة,حي العلا,600,العلا,استديو
43,43,7.9,11,1000,غرفة بأثاث بسيط ومريح,حي العزيزية,300,العلا,شقة
44,44,10.0,2,3000,شقة بصالة وغرفتين نوم وبأثاث مريح,العذيب,350,العلا,شقة
45,45,9.7,56,1500,كوخ داخل مزرعة بغرفة نوم,قراقر,500,العلا,كوخ
46,46,9.3,2,50,كوخ بإطلالة,قراقر,600,العلا,كوخ
47,47,8.9,2,3000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
48,48,10.0,5,250,استراحة لقضاء اجواء عائلية مميزة,حي ساق,830,العلا,استراحة
49,49,9.0,3,15000,فيلا بجلسة خارجية  مع 4 غرف نوم,مخطط الميدان السكني,"2,000",العلا,فيلا
50,50,9.8,8,60,استوديو انيق بسرير ماستر,حي العزيزية,350,العلا,استديو
51,51,9.0,31,800,شاليه أنيق بجلسة خارجية,الديرة,650,العلا,شاليه
52,52,0.0,0,3000,شقة بغرفتين نوم وصالة,حي السلام,500,العلا,شقة
53,53,0.0,0,3000,استديو هادئ بسرير ماستر,حي المعتدل,449,العلا,استديو
54,54,10.0,1,3000,شقة بغرفتين نوم وصالة,حي العزيزية,600,العلا,شقة
55,55,10.0,1,200,مزرعة ببيت شعر وباطلالة مميزة,حي المعتدل,700,العلا,مزرعة
56,56,0.0,0,15000,استراحة بجلسة خارجية و مجلس,حي صدر الغربية,450,العلا,استراحة
57,57,7.6,15,40,شقة بغرفتين نوم بموقع مميز,العزيزية,350,العلا,شقة
58,58,10.0,1,30,استديو بسرير ماستر وأثاث مريح,حي العزيزية,270,العلا,استديو
59,59,0.0,0,15000,شاليه بجلسة خارجية مطلة على المسبح,المنقا,"1,080",العلا,شاليه
60,60,9.8,12,50000,فيلا داخل مزرعة مطله على الطبيعة,الحجر,"2,500",العلا,فيلا
61,61,10.0,1,50,غرفة بسرير ماستر وجلسة,حي المعتدل,462,العلا,شقة
62,62,10.0,1,50,غرفة بأجواء دافئة ومريحة,حي المعتدل,462,العلا,شقة
63,63,10.0,1,50,غرفة بأجواء دافئة ومريحة,حي المعتدل,462,العلا,شقة
64,64,9.8,1,1000,شقة بغرفة نوم وصالة,حي الصخيرات,450,العلا,شقة
65,65,9.8,1,50,كوخ بإطلالة,قراقر,600,العلا,كوخ
66,66,0.0,0,15000,شقة بغرفة معيشة وغرفة نوم,حي صدر الغربية,410,العلا,شقة
67,67,0.0,0,150,وحدة بإطلالة جبلية وغرفة نوم,قراقر,426,العلا,شقة
68,68,0.0,0,15000,استديو بسرير مفرد وأثاث مريح,العذيب,250,العلا,استديو
69,69,9.6,12,1000,كوخ داخل مزرعة بغرفة نوم,قراقر,500,العلا,كوخ
70,70,9.5,5,25000,مزرعة بإطلالات مميزه,الحجر,"1,000",العلا,مزرعة
71,71,0.0,0,3000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
72,72,9.4,7,15000,شقة بغرفتين نوم  وصالة,حي العزيزية,450,العلا,شقة
73,73,10.0,3,55811,خيمة داخل مزرعة بإطلالة جبلية,قراقر,210,العلا,مخيم
74,74,7.6,2,15000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
75,75,0.0,0,3000,شقة بثلاث غرف نوم وصاله,حي العزيزية,750,العلا,شقة
76,76,10.0,1,15000,شاليه بمسبح ومجلس,جنوب المستشفى,895,العلا,شاليه
77,77,10.0,5,35,استوديو بأثاث مريح وبسيط,حي العزيزية,350,العلا,استديو
78,78,9.9,8,400,شاليه لقضاء وقت ممتع ومميز,حي المعتدل,"1,000",العلا,شاليه
79,79,7.5,1,50,كوخ بغرفة نوم وإطلالة مميزة,قراقر,600,العلا,كوخ
80,80,0.0,0,15000,شقة بصالة وغرفة نوم,مغيرا,270,العلا,شقة
81,81,0.0,0,15000,شقة بغرفة نوم وصالة,حي السلام,350,العلا,شقة
82,82,8.5,3,5000,استراحة بمجلس وفناء خارجي,العذيب,855,العلا,استراحة
83,83,9.9,17,30,استوديو مريح بسرير ماستر,العزيزية,300,العلا,استديو
84,84,9.8,1,200,شقة بصالة جلوس وغرفتين نوم,حي العزيزية,600,العلا,شقة
85,85,9.4,4,3000,شقة بأثاث مريح وبسيط,حي العزيزية,599,العلا,شقة
86,86,0.0,0,3000,شقة بخمس غرف نوم وصالة,حي الرزيقية,"1,100",العلا,شقة
87,87,7.9,3,3000,شاليه بجلسة تطل على مسبح خارجي,حي العزيزية,"1,900",العلا,شاليه
88,88,10.0,1,3000,مزرعة بمسطح اخضر وجلسة داخلية,تربه,500,العلا,مزرعة
89,89,10.0,1,600,شاليه بمسطح اخضر ومجالس داخلية,حي العزيزية,650,العلا,شاليه
90,90,0.0,0,3000,شقة بثلاث غرف نوم,حي الصخيرات,700,العلا,شقة
91,91,8.0,21,300,شاليه بجلسة خارجية و غرفة جلوس,حي المعتدل,750,العلا,شاليه
92,92,8.8,2,200,شقة بصالة وغرفتين نوم,حي العزيزية,550,العلا,شقة
93,93,9.8,3,35,غرفة بسريرين وجلسة جانبية,حي العزيزية,350,العلا,شقة
94,94,9.4,71,3000,شاليه أنيق بداخل مزرعة,قراقر,750,العلا,شاليه
95,95,10.0,1,1000,شقة بصالة جلوس وغرفة نوم,حي السلام,900,العلا,شقة
96,96,10.0,1,15000,شقة بصالة وغرفة نوم,حي العزيزية,850,العلا,شقة
97,97,0.0,0,200,مخيم لتجربة رائعة,قراقر,480,العلا,مخيم
98,98,7.5,3,500,شاليه بصاله وغرفتين نوم,فضلا,"1,000",العلا,شاليه
99,99,9.3,2,1000,شقة بغرفة جلوس وغرفتين نوم,حي العزيزية,700,العلا,شقة
100,100,9.8,6,3000,شقة بصالة وجلسة خارجية واجواء ممتعة,العذيب,650,العلا,شقة
101,101,9.2,4,15000,شقة بغرفتين نوم وصالة جلوس,حي العلا,450,العلا,شقة
102,102,9.2,3,10000,مزرعة بمجلس واسع وأجواء ممتعة,العذيب,"9,000",العلا,مزرعة
103,103,0.0,0,3000,شقة بغرفتين نوم,حي العزيزية,550,العلا,شقة
104,104,8.0,4,3000,شقة لليلة هادئة بغرفة جلوس,حي العزيزية,700,العلا,شقة
105,105,10.0,1,55811,مزرعة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مزرعة
106,106,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
107,107,10.0,1,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
108,108,10.0,1,15000,شقة بغرفتين نوم وصالة,حي السلام,577,العلا,شقة
109,109,9.9,6,40000,مخيم ببيت شعر و جلسة عريش,قراقر,400,العلا,مخيم
110,110,9.6,7,55811,خيمة لشخصين داخل مزرعة,قراقر,360,العلا,مخيم
111,111,9.0,10,55811,خيمة لشخصين بمرافق مشتركة,قراقر,360,العلا,مخيم
112,112,9.1,2,55811,خيمة لشخصين بمرافق مشتركة,قراقر,360,العلا,مخيم
113,113,9.2,7,55811,مزرعة بخيمة لشخص ومرافق مشتركة,قراقر,210,العلا,مزرعة
114,114,10.0,1,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
115,115,10.0,1,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
116,116,8.8,11,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
117,117,9.5,1,50000,مزرعة بمجالس وبيت شعر,الحجر,"1,000",العلا,مزرعة
118,118,9.6,8,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
119,119,9.5,4,55811,خيمه داخل مزرعة ومرافق مشتركة,قراقر,210,العلا,مخيم
120,120,9.8,4,55811,خيمه داخل مزرعة ومرافق مشتركة,قراقر,210,العلا,مخيم
121,121,6.0,2,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
122,122,9.0,5,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
123,123,9.0,1,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
124,124,9.8,3,55811,خيمة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مخيم
125,125,9.5,1,3000,شقة بغرفتين نوم وصالة جلوس,قراقر,600,العلا,شقة
126,126,9.7,13,625,استراحة بإطلالة على الجبل ومجلس,فضلا,600,العلا,استراحة
127,127,9.7,5,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
128,128,8.0,1,55811,مزرعة بركن شواء  وجلسات مشتركة,قراقر,210,العلا,مزرعة
129,129,10.0,2,55811,مزرعة بخيمة وجلسات مشتركة,قراقر,210,العلا,مزرعة
130,130,9.5,6,15000,غرفة بأثاث مريح وبسيط,حي المعتدل,480,العلا,شقة
131,131,0.0,0,1000,استراحة بغرفتين نوم وألعاب أطفال,قراقر,500,العلا,استراحة
132,132,0.0,0,15000,استديو بأثاث مريح وبسيط,حي المعتدل,499,العلا,استديو
133,133,9.4,6,3000,شقة بصالة وغرفتين نوم,حي الصخيرات,"1,000",العلا,شقة
134,134,8.3,1,70,استراحة ببيت شعر وغرفة نوم,العذيب,350,العلا,استراحة
135,135,9.4,4,55811,خيمة لشخصين داخل مزرعة,قراقر,360,العلا,مخيم
136,136,10.0,2,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
137,137,10.0,1,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
138,138,10.0,1,3000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
139,139,9.8,3,40,استديو بسرير ماستر وجلسة مريحة,حي العزيزية,250,العلا,استديو
140,140,9.0,4,55811,خيمة لشخصين بمرافق مشتركة,قراقر,360,العلا,مخيم
141,141,9.9,6,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
142,142,8.8,3,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
143,143,8.5,2,55811,مزرعة بخيمة لشخص ومرافق مشتركة,قراقر,210,العلا,مزرعة
144,144,0.0,0,50,غرفة بأثاث مريح وبسيط,حي المعتدل,462,العلا,شقة
145,145,10.0,3,5000,مزرعة بجلسة خارجية مطلة على الجبل,العذيب,"1,500",العلا,مزرعة
146,146,10.0,1,1000,استراحة بجلسة خارجية ومسطح اخضر,حي صدر الغربية,"1,500",العلا,استراحة
147,147,9.8,5,40,استديو بأثاث مريح وبسيط,جنوب المستشفى,250,العلا,استديو
148,148,9.0,1,30,استديو بسريرين مفردة وأثاث مريح,حي العزيزية,250,العلا,استديو
149,149,10.0,1,15000,شقة بغرفة نوم بسرير ماستر,حي العزيزية,285,العلا,شقة
150,150,10.0,1,1000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
151,151,9.8,9,90,شقة بصالة جلوس وغرفتين نوم,حي العزيزية,"1,200",العلا,شقة
152,152,9.9,21,60,سويت بسرير ماستر وخدمة انترنت,حي العزيزية,650,العلا,شقة
153,153,9.8,3,50,شقة مودرن بغرفة نوم,حي العزيزية,350,العلا,شقة
154,154,10.0,2,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
155,155,10.0,1,55811,مزرعة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مزرعة
156,156,9.0,7,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
157,157,10.0,1,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
158,158,0.0,0,1000,شقة بغرفتين نوم وغرفة جلوس,حي العزيزية,600,العلا,شقة
159,159,5.0,1,3000,استديو مريح لليلة جميلة ومميزة,جنوب المستشفى,500,العلا,استديو
160,160,0.0,0,1000,غرفة بأثاث مريح وبسيط,حي الصخيرات,460,العلا,شقة
161,161,0.0,0,50,كوخ بغرفة نوم وفناء خارجي,قراقر,600,العلا,كوخ
162,162,0.0,0,50,كوخ بإطلالة,قراقر,600,العلا,كوخ
163,163,8.5,7,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
164,164,8.8,6,15000,غرفة بأجواء دافئة ومريحة,حي المعتدل,480,العلا,شقة
165,165,9.3,5,350,شاليه باطلاله على الحديقه,الحجر,800,العلا,شاليه
166,166,7.6,2,15000,شقة بغرفة جلوس وغرفة نوم,حي العزيزية,350,العلا,شقة
167,167,9.1,4,48,استديو بسرير ماستر,حي العزيزية,599,العلا,استديو
168,168,8.2,5,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
169,169,9.5,1,3000,شقة بغرفتين نوم وصالة,حي العزيزية,500,العلا,شقة
170,170,9.9,4,1000,استديو باثاث مريح وبسيط,حي العزيزية,440,العلا,استديو
171,171,0.0,0,60,غرفة بسرير ماستر ومرافق مشتركة,حي المعتدل,462,العلا,شقة
172,172,0.0,0,60,غرفة بسرير ماستر ومرافق مشتركة,حي المعتدل,462,العلا,شقة
173,173,10.0,1,15000,شقة بغرفتي نوم,حي العزيزية,700,العلا,شقة
174,174,8.4,5,50,استديو و سرير ماستر و جلسة جانبي,حي العزيزية,350,العلا,استديو
175,175,0.0,0,15000,غرفة مؤثثة مع دورة مياه,حي العزيزية,250,العلا,شقة
176,176,7.9,2,55811,مزرعة بخيمة وجلسات مشتركة,قراقر,210,العلا,مزرعة
177,177,9.4,7,15000,شقة هادئه بصالة وغرفتين نوم,جنوب المستشفى,500,العلا,شقة
178,178,2.3,1,3000,شاليه بمسبح خارجي,العذيب,"1,500",العلا,شاليه
179,179,10.0,2,3000,شقة بفناء خارجي غرفه  نوم,مخطط الميدان السكني,350,العلا,شقة
180,180,9.6,12,110000,مزرعة بمسطحات خضراء وبيت شعر,الحجر,"3,000",العلا,مزرعة
181,181,9.7,5,15000,كوخ ريفي بمسطح اخضر ومسبح,قراقر,"1,550",العلا,كوخ
182,182,7.4,2,3000,شقة هادئة بغرفتين نوم وصاله,حي الصخيرات,"1,000",العلا,شقة
183,183,10.0,1,3000,غرفة بسريرين ودورة مياه,حي المعتدل,500,العلا,شقة
184,184,10.0,1,40,شقة بغرفة نوم وصالة جلوس,حي العزيزية,300,العلا,شقة
185,185,7.0,2,55811,مزرعة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مزرعة
186,186,0.0,0,1000,غرفة بسريرين فردية ودورة مياة,حي العزيزية,300,العلا,شقة
187,187,0.0,0,3000,شقة بصالة وغرفتين نوم,العذيب,270,العلا,شقة
188,188,6.3,6,3000,استراحه مطلة على الجبل ومزرعة,الشلال,"1,000",العلا,استراحة
189,189,10.0,2,20,شقة داخل مزرعة وجلسات مشتركه,الحجر,450,العلا,شقة
190,190,9.9,2,2000,مخيم باطلالة جبلية وبيت شعر,قراقر,885,العلا,مخيم
191,191,10.0,1,1000,شقة بغرفة نوم وصالة جلوس,حي السلام,600,العلا,شقة
192,192,4.3,1,1000,شقة بصالة وثلاث غرف نوم,جنوب المستشفى,700,العلا,شقة
193,193,5.8,3,100,استراحة بمسطح اخضر وجلسة خارجية,حي المعتدل,850,العلا,استراحة
194,194,9.1,4,3000,شقة بغرفة نوم وغرفة جلوس,حي العزيزية,350,العلا,شقة
195,195,6.2,3,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
196,196,0.0,0,15000,فيلا بـ5 غرف نوم وجلسة خارجية,الاسكان,"1,500",العلا,فيلا
197,197,9.5,5,15000,شقة بغرفة معيشة وغرفة نوم,حي المعتدل,900,العلا,شقة
198,198,8.4,8,3000,شقة بصالة و4 غرف نوم,حي العزيزية,800,العلا,شقة
199,199,8.1,12,15000,شقة بغرفة نوم وصالة,حي العزيزية,350,العلا,شقة
200,200,10.0,1,400,مزرعة بمسطحات خضراء وغرفة جلوس,تربه,900,العلا,مزرعة
201,201,8.1,8,100,استراحة بإطلالة على المزرعة,حي المعتدل,"1,000",العلا,استراحة
202,202,0.0,0,800,مخيم ببيت شعر ملكي وجلسة خارجية,حي المعتدل,800,العلا,مخيم
203,203,0.0,0,30000,مزرعة بإطلالات مميزه,الحجر,800,العلا,مزرعة
204,204,0.0,0,1000,استراحة بغرفة نوم و صالة جلوس,العذيب,"1,000",العلا,استراحة
205,205,0.0,0,450,استراحة بثلاث غرف نوم,الحجر,900,العلا,استراحة
206,206,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
207,207,0.0,0,55811,مزرعة بخيمة جلسات مشتركة,قراقر,210,العلا,مزرعة
208,208,0.0,0,55811,مزرعة بخيمة وجلسات مشتركة,قراقر,210,العلا,مزرعة
209,209,0.0,0,55811,خيمة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مخيم
210,210,0.0,0,55811,خيمة داخل مزرعة ومرافق مشتركة,قراقر,210,العلا,مخيم
211,211,9.5,1,500,استراحة داخل مزرعة ببيت شعر ملكي,قراقر,"1,190",العلا,استراحة
212,212,0.0,0,50,غرفة بأثاث مريح وبسيط,حي المعتدل,462,العلا,شقة
213,213,0.0,0,50,غرفة بسرير ماستر ومرافق مشتركة,حي المعتدل,462,العلا,شقة
214,214,0.0,0,50,غرفة بسرير ماستر وجلسة,حي المعتدل,462,العلا,شقة
215,215,0.0,0,50,غرفة بأجواء دافئة ومريحة,حي المعتدل,462,العلا,شقة
216,216,0.0,0,50,غرفة بأثاث مريح وبسيط,حي المعتدل,462,العلا,شقة
217,217,0.0,0,50,غرفة بسرير ماستر ومرافق مشتركة,حي المعتدل,462,العلا,شقة
218,218,0.0,0,50,غرفة بسرير ماستر وجلسة,حي المعتدل,462,العلا,شقة
219,219,0.0,0,50,غرفة بسرير ماستر وجلسة,حي المعتدل,462,العلا,شقة
220,220,0.0,0,333,استراحة ببيت شعر لقضاء وقت ممتع,حي العزيزية,"1,500",العلا,استراحة
221,221,0.0,0,85,استراحة بغرفة نوم وصالة,الحجر,600,العلا,استراحة
222,222,0.0,0,150,شقة بصالة وثلاث غرف نوم,مغيرا,"2,500",العلا,شقة
223,223,0.0,0,15000,استديو هادئ بسرير ماستر,حي العزيزية,500,العلا,استديو
224,224,0.0,0,3000,شقة بصالة وغرفة نوم,حي العزيزية,850,العلا,شقة
225,225,0.0,0,15000,شقة بصالة وغرفة نوم,حي العزيزية,850,العلا,شقة
226,226,8.7,4,20,شقة داخل مزرعة بغرفتين نوم,الحجر,700,العلا,شقة
227,227,0.0,0,150,استراحة لقضاء اجواء عائلية مميزة,الحجر,"1,000",العلا,استراحة
228,228,8.3,2,15000,شقة لليلة هادئة بغرفتين نوم,حي العزيزية,250,العلا,شقة
229,229,1.0,1,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
230,230,8.2,7,20,شقة داخل مزرعة وجلسات مشتركه,الحجر,450,العلا,شقة
231,231,0.0,0,100,استراحة بغرفتين وصاله أنيقة,قراقر,780,العلا,استراحة
232,232,0.0,0,60,غرفة بسرير ماستر ومرافق مشتركة,حي المعتدل,462,العلا,شقة
233,233,0.0,0,60,غرفة بأجواء دافئة ومريحة,حي المعتدل,462,العلا,شقة
234,234,10.0,1,15000,فيلا بجلسات خارجية مميزة,حي صدر الغربية,890,العلا,فيلا
235,235,10.0,2,1000,مخيم بسرير فردي ومرافق مشتركة,الشلال,"1,400",العلا,مخيم
236,236,8.6,8,3000,شقة بصالة وغرفة نوم,حي العزيزية,350,العلا,شقة
237,237,0.0,0,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
238,238,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
239,239,0.0,0,55811,مزرعة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مزرعة
240,240,0.0,0,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
241,241,0.0,0,55811,مزرعة بخيمة وجلسات مشتركة,قراقر,210,العلا,مزرعة
242,242,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
243,243,0.0,0,15000,شقة بأثاث بسيط و غرفتين نوم,حي العزيزية,460,العلا,شقة
244,244,4.0,1,3000,شقة بغرفتين نوم وغرفة جلوس,حي العزيزية,450,العلا,شقة
245,245,0.0,0,1000,فيلا ب5 غرف نوم وغرفة جلوس,مخطط الميدان السكني,"1,900",العلا,فيلا
246,246,0.0,0,3000,شقة أنيقة بموقع مميز,حي العزيزية,300,العلا,شقة
247,247,0.0,0,200,كوخ بسرير ماستر وجلسة خارجية,قراقر,600,العلا,كوخ
248,248,0.0,0,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
249,249,0.0,0,55811,مزرعة بإطلالة جبلية ومرافق مشترك,قراقر,210,العلا,مزرعة
250,250,9.0,2,40,شقة بصالة جلوس وغرفة نوم,حي العزيزية,300,العلا,شقة
251,251,10.0,1,3000,شقة بصالة وغرفة نوم ومرافق مشتركة,العذيب,"2,000",العلا,شقة
252,252,0.0,0,3000,شقة بغرفة جلوس وغرفة نوم,حي الصخيرات,"1,000",العلا,شقة
253,253,0.0,0,1000,شقة بغرفة نوم وصالة,حي الصخيرات,"1,000",العلا,شقة
254,254,10.0,2,2300,فيلا في مزرعة بمسطحات خضراء,الحجر,"4,025",العلا,فيلا
255,255,0.0,0,5000,مزرعة بإطلالات مميزه,قراقر,"1,000",العلا,مزرعة
256,256,0.0,0,400,استراحة بمجلس و3 غرف نوم,الحجر,600,العلا,استراحة
257,257,0.0,0,15000,استراحة بإطلالة على الجبل,العذيب,"1,400",العلا,استراحة
258,258,0.0,0,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
259,259,0.0,0,55811,مزرعة بخيمه وجلسات مشتركة,قراقر,210,العلا,مزرعة
260,260,0.0,0,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
261,261,0.0,0,55811,مزرعة بخيمة لشخص وجلسة مشتركة,قراقر,210,العلا,مزرعة
262,262,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
263,263,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
264,264,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
265,265,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
266,266,0.0,0,55811,مزرعة بخيمة و جلسات مشتركة,قراقر,210,العلا,مزرعة
267,267,0.0,0,3500,منتجع,العذيب,"3,000",العلا,منتجع
268,268,0.0,0,100,مخيم بجلسة مطلة على الجبال,العذيب,350,العلا,مخيم
269,269,0.0,0,1000,شقة بتصميم كلاسيكي و هادئ,حي الصخيرات,"1,000",العلا,شقة
270,270,0.0,0,15000,شقة بصالة وغرفتين نوم,حي الصخيرات,"1,000",العلا,شقة
271,271,0.0,0,80,شقة بغرفة نوم وصالة,حي العزيزية,600,العلا,شقة
272,272,0.0,0,100,استراحة بمجلس وغرفة نوم,قراقر,650,العلا,استراحة
273,273,0.0,0,80,وحده بثلاث اسرة فردية وفناء خارجي,قراقر,400,العلا,شقة
274,274,0.0,0,1000,شقة بغرفة جلوس وغرفة نوم,حي السلام,693,العلا,شقة
275,275,1.8,1,120,مزرعة بدكة خارجيه وركن شواء,الحجر,400,العلا,مزرعة
276,276,0.0,0,3000,شقة بثلاث غرف نوم وصالة,حي العزيزية,500,العلا,شقة
